Company,Position Title,Salary Range (€),Seniority Level,Publishing Date,Skills Required,City,Job Link
Flo Health,Cloud Architect,"3,500 – 5,500",Mid-Senior,2025-04-08,"Windows Server, Docker, AWS, C#",Šiauliai,https://www.linkedin.com/jobs/view/flo-health-cloud-architect-in-šiauliai/
Accenture,Software Engineer,"4,000 – 6,000",Senior,2025-04-09,"Java, Windows Server, Linux, Agile",Klaipėda,https://www.linkedin.com/jobs/view/accenture-software-engineer-in-klaipėda/
Barclays Lithuania,IT Project Manager,"5,000+",Senior,2025-04-08,"Docker, SQL, React, Scrum",Klaipėda,https://www.linkedin.com/jobs/view/barclays-lithuania-it-project-manager-in-klaipėda/
Moody's Lithuania,Data Engineer,"2,000 – 3,000",Mid-Senior,2025-04-08,"Angular, Docker, Kubernetes, Java",Panevėžys,https://www.linkedin.com/jobs/view/moody's-lithuania-data-engineer-in-panevėžys/
IBM Lithuania,IT Business Analyst,"5,000+",Mid,2025-04-23,"Scrum, AWS, CI/CD, SQL",Šiauliai,https://www.linkedin.com/jobs/view/ibm-lithuania-it-business-analyst-in-šiauliai/
IBM Lithuania,Backend Developer,"3,000 – 5,000",Lead,2025-04-14,"NoSQL, Kubernetes, SQL, Angular",Panevėžys,https://www.linkedin.com/jobs/view/ibm-lithuania-backend-developer-in-panevėžys/
Danske Bank,IT Project Manager,"2,500 – 4,000",Mid,2025-04-08,"NoSQL, Docker, Agile, Linux",Vilnius,https://www.linkedin.com/jobs/view/danske-bank-it-project-manager-in-vilnius/
Nord Security,Mobile App Developer,"2,500 – 4,000",Mid-Senior,2025-04-26,"C#, Agile, SQL, Linux",Kaunas,https://www.linkedin.com/jobs/view/nord-security-mobile-app-developer-in-kaunas/
Danske Bank,Data Engineer,"5,000+",Lead,2025-04-15,"Microservices, Angular, Agile, Scrum",Kaunas,https://www.linkedin.com/jobs/view/danske-bank-data-engineer-in-kaunas/
GetJet Airlines,Data Engineer,"3,500 – 5,500",Mid-Senior,2025-04-14,"Linux, Azure, Windows Server, Python",Vilnius,https://www.linkedin.com/jobs/view/getjet-airlines-data-engineer-in-vilnius/
Nord Security,IT Project Manager,"4,000 – 6,000",Lead,2025-04-28,"CI/CD, Linux, Python, Azure",Šiauliai,https://www.linkedin.com/jobs/view/nord-security-it-project-manager-in-šiauliai/
Barclays Lithuania,Data Engineer,"2,500 – 4,000",Mid-Senior,2025-04-15,"Angular, Azure, Java, Scrum",Vilnius,https://www.linkedin.com/jobs/view/barclays-lithuania-data-engineer-in-vilnius/
Nord Security,Backend Developer,"4,000 – 6,000",Junior,2025-04-10,"Java, Docker, CI/CD, Kubernetes",Klaipėda,https://www.linkedin.com/jobs/view/nord-security-backend-developer-in-klaipėda/
SEB,Software Engineer,"2,000 – 3,000",Mid,2025-04-28,"Azure, Linux, CI/CD, Angular",Klaipėda,https://www.linkedin.com/jobs/view/seb-software-engineer-in-klaipėda/
Wix.com,IT Project Manager,"5,000+",Mid,2025-03-29,"Kubernetes, SQL, Docker, Azure",Kaunas,https://www.linkedin.com/jobs/view/wix.com-it-project-manager-in-kaunas/
Planner5d,IT Business Analyst,"2,500 – 4,000",Junior,2025-04-06,"CI/CD, Scrum, SQL, Agile",Kaunas,https://www.linkedin.com/jobs/view/planner5d-it-business-analyst-in-kaunas/
Vinted,Data Engineer,"2,500 – 4,000",Senior,2025-04-28,"Scrum, NoSQL, Agile, Python",Vilnius,https://www.linkedin.com/jobs/view/vinted-data-engineer-in-vilnius/
Barclays Lithuania,IT Business Analyst,"4,000 – 6,000",Mid,2025-04-12,"NoSQL, Azure, Windows Server, AWS",Kaunas,https://www.linkedin.com/jobs/view/barclays-lithuania-it-business-analyst-in-kaunas/
Accenture,Product Manager,"5,000+",Lead,2025-04-24,"Scrum, Agile, Java, CI/CD",Šiauliai,https://www.linkedin.com/jobs/view/accenture-product-manager-in-šiauliai/
Tietoevry,QA Engineer,"3,000 – 5,000",Mid-Senior,2025-03-31,"Java, NoSQL, Kubernetes, Angular",Kaunas,https://www.linkedin.com/jobs/view/tietoevry-qa-engineer-in-kaunas/
GetJet Airlines,Frontend Developer,"2,000 – 3,000",Senior,2025-04-06,"Azure, C#, React, Angular",Panevėžys,https://www.linkedin.com/jobs/view/getjet-airlines-frontend-developer-in-panevėžys/
Wix.com,Security Analyst,"3,500 – 5,500",Mid,2025-04-27,"Java, Microservices, Scrum, NoSQL",Šiauliai,https://www.linkedin.com/jobs/view/wix.com-security-analyst-in-šiauliai/
